Dates,StageHeight_LIS,Overtopping_LIS
1998-01-01,6.01,No
1998-01-02,6.81,No
1998-01-03,7.05,No
1998-01-04,7.07,No
1998-01-05,6.61,No
1998-01-06,6.42,No
1998-01-07,6.45,No
1998-01-08,6.59,No
1998-01-09,6.73,No
1998-01-10,7.11,No
1998-01-11,7.3,No
1998-01-12,7.75,No
1998-01-13,8.63,No
1998-01-14,9.26,No
1998-01-15,9.62,No
1998-01-16,10.23,No
1998-01-17,11.81,No
1998-01-18,16.07,Yes
1998-01-19,17.37,Yes
1998-01-20,17.9,Yes
1998-01-21,18.06,Yes
1998-01-22,17.95,Yes
1998-01-23,17.62,Yes
1998-01-24,17.06,Yes
1998-01-25,16.51,Yes
1998-01-26,16.05,Yes
1998-01-27,15.66,Yes
1998-01-28,15.53,Yes
1998-01-29,15.8,Yes
1998-01-30,16.48,Yes
1998-01-31,17.24,Yes
1998-02-01,17.29,Yes
1998-02-02,17.36,Yes
1998-02-03,17.9,Yes
1998-02-04,20.3,Yes
1998-02-05,21.7,Yes
1998-02-06,22.22,Yes
1998-02-07,22.68,Yes
1998-02-08,23.16,Yes
1998-02-09,23.24,Yes
1998-02-10,22.97,Yes
1998-02-11,22.62,Yes
1998-02-12,22.11,Yes
1998-02-13,21.73,Yes
1998-02-14,21.36,Yes
1998-02-15,21.25,Yes
1998-02-16,21.09,Yes
1998-02-17,20.96,Yes
1998-02-18,20.8,Yes
1998-02-19,20.33,Yes
1998-02-20,20.41,Yes
1998-02-21,20.4,Yes
1998-02-22,20.7,Yes
1998-02-23,21.01,Yes
1998-02-24,21,Yes
1998-02-25,20.82,Yes
1998-02-26,20.47,Yes
1998-02-27,20.12,Yes
1998-02-28,19.72,Yes
1998-03-01,19.25,Yes
1998-03-02,18.7,Yes
1998-03-03,18.19,Yes
1998-03-04,17.74,Yes
1998-03-05,17.33,Yes
1998-03-06,16.93,Yes
1998-03-07,16.47,Yes
1998-03-08,15.97,Yes
1998-03-09,15.39,Yes
1998-03-10,14.82,Yes
1998-03-11,14.27,Yes
1998-03-12,14.06,Yes
1998-03-13,13.85,Yes
1998-03-14,13.73,Yes
1998-03-15,13.61,Yes
1998-03-16,13.6,Yes
1998-03-17,13.47,Yes
1998-03-18,13.34,Yes
1998-03-19,13.08,Yes
1998-03-20,13.14,Yes
1998-03-21,13.06,Yes
1998-03-22,12.94,No
1998-03-23,12.87,No
1998-03-24,12.86,No
1998-03-25,12.92,No
1998-03-26,14.63,Yes
1998-03-27,16.92,Yes
1998-03-28,17.78,Yes
1998-03-29,17.99,Yes
1998-03-30,17.92,Yes
1998-03-31,17.59,Yes
1998-04-01,17.11,Yes
1998-04-02,16.36,Yes
1998-04-03,15.65,Yes
1998-04-04,15.28,Yes
1998-04-05,15.19,Yes
1998-04-06,15,Yes
1998-04-07,14.68,Yes
1998-04-08,14.45,Yes
1998-04-09,14.19,Yes
1998-04-10,13.93,Yes
1998-04-11,13.59,Yes
1998-04-12,13.19,Yes
1998-04-13,12.93,No
1998-04-14,12.67,No
1998-04-15,12.43,No
1998-04-16,12.3,No
1998-04-17,12.14,No
1998-04-18,11.97,No
1998-04-19,11.72,No
1998-04-20,11.47,No
1998-04-21,11.25,No
1998-04-22,11.06,No
1998-04-23,10.91,No
1998-04-24,10.32,No
1998-04-25,10.12,No
1998-04-26,9.65,No
1998-04-27,9.23,No
1998-04-28,8.89,No
1998-04-29,8.61,No
1998-04-30,8.5,No
