DateTime,StageHeight_FW,StageHeight_ISt,Dates
01/01/1998 00:00:00,16.45,5.22,1998/01/01
01/02/1998 00:00:00,16.49,5.37,1998/01/02
01/03/1998 00:00:00,16.87,5.69,1998/01/03
01/04/1998 00:00:00,18.46,6.11,1998/01/04
01/05/1998 00:00:00,22.03,7.18,1998/01/05
01/06/1998 00:00:00,23.33,8.33,1998/01/06
01/07/1998 00:00:00,21.91,8.16,1998/01/07
01/08/1998 00:00:00,21.08,7.54,1998/01/08
01/09/1998 00:00:00,21.83,7.51,1998/01/09
01/10/1998 00:00:00,21.48,7.88,1998/01/10
01/11/1998 00:00:00,21.76,7.99,1998/01/11
01/12/1998 00:00:00,26.02,9.27,1998/01/12
01/13/1998 00:00:00,30.33,14.14,1998/01/13
01/14/1998 00:00:00,31.96,NA,1998/01/14
01/15/1998 00:00:00,33.58,NA,1998/01/15
01/16/1998 00:00:00,35.31,NA,1998/01/16
01/17/1998 00:00:00,35.65,NA,1998/01/17
01/18/1998 00:00:00,35.73,NA,1998/01/18
01/19/1998 00:00:00,35.88,NA,1998/01/19
01/20/1998 00:00:00,35.92,22.77,1998/01/20
01/21/1998 00:00:00,35.9,22.17,1998/01/21
01/22/1998 00:00:00,35.67,21.73,1998/01/22
01/23/1998 00:00:00,35.37,21.24,1998/01/23
01/24/1998 00:00:00,35.17,20.74,1998/01/24
01/25/1998 00:00:00,35.05,20.34,1998/01/25
01/26/1998 00:00:00,34.92,20.08,1998/01/26
01/27/1998 00:00:00,34.94,19.94,1998/01/27
01/28/1998 00:00:00,35.11,19.98,1998/01/28
01/29/1998 00:00:00,35.45,20.24,1998/01/29
01/30/1998 00:00:00,35.75,20.81,1998/01/30
01/31/1998 00:00:00,35.67,20.79,1998/01/31
02/01/1998 00:00:00,35.58,20.65,1998/02/01
02/02/1998 00:00:00,35.65,20.83,1998/02/02
02/03/1998 00:00:00,36.48,22.99,1998/02/03
02/04/1998 00:00:00,37.49,26.58,1998/02/04
02/05/1998 00:00:00,37.94,25.9,1998/02/05
02/06/1998 00:00:00,38.24,25.07,1998/02/06
02/07/1998 00:00:00,38.27,24.57,1998/02/07
02/08/1998 00:00:00,38.46,25.1,1998/02/08
02/09/1998 00:00:00,38.43,24.72,1998/02/09
02/10/1998 00:00:00,38.15,24.01,1998/02/10
02/11/1998 00:00:00,37.7,23.47,1998/02/11
