#Station Number:A02100
#Station Name:Sacramento River at Sacramento (I Street)
#Station Type:Surface Water
#Parameter:Stage
#Output Interval (Unit of Measure):Daily Mean (FOOT)
#Output Date Range:Custom
#Start and End Date of Output Date Range:01/01/1998 - 12/31/2022
#Query Date and Time:11/15/2023 12:18:13
Date Time,Stage Daily Mean (FOOT),Quality Code
01/01/1998 00:00:00,5.22,1: Good data
01/02/1998 00:00:00,5.37,1: Good data
01/03/1998 00:00:00,5.69,1: Good data
01/04/1998 00:00:00,6.11,1: Good data
01/05/1998 00:00:00,7.18,1: Good data
01/06/1998 00:00:00,8.33,1: Good data
01/07/1998 00:00:00,8.16,1: Good data
01/08/1998 00:00:00,7.54,1: Good data
01/09/1998 00:00:00,7.51,1: Good data
01/10/1998 00:00:00,7.88,1: Good data
01/11/1998 00:00:00,7.99,1: Good data
01/12/1998 00:00:00,9.27,1: Good data
01/13/1998 00:00:00,14.14,1: Good data
01/14/1998 00:00:00, ,151: Data Missing
01/15/1998 00:00:00, ,255: No data exists
01/16/1998 00:00:00, ,255: No data exists
01/17/1998 00:00:00, ,255: No data exists
01/18/1998 00:00:00, ,255: No data exists
01/19/1998 00:00:00, ,255: No data exists
01/20/1998 00:00:00,22.77,1: Good data
01/21/1998 00:00:00,22.17,1: Good data
01/22/1998 00:00:00,21.73,1: Good data
01/23/1998 00:00:00,21.24,1: Good data
01/24/1998 00:00:00,20.74,1: Good data
01/25/1998 00:00:00,20.34,1: Good data
01/26/1998 00:00:00,20.08,1: Good data
01/27/1998 00:00:00,19.94,1: Good data
01/28/1998 00:00:00,19.98,1: Good data
01/29/1998 00:00:00,20.24,1: Good data
01/30/1998 00:00:00,20.81,1: Good data
01/31/1998 00:00:00,20.79,1: Good data
02/01/1998 00:00:00,20.65,1: Good data
02/02/1998 00:00:00,20.83,1: Good data
02/03/1998 00:00:00,22.99,1: Good data
02/04/1998 00:00:00,26.58,1: Good data
02/05/1998 00:00:00,25.9,1: Good data
02/06/1998 00:00:00,25.07,1: Good data
02/07/1998 00:00:00,24.57,1: Good data
02/08/1998 00:00:00,25.1,1: Good data
02/09/1998 00:00:00,24.72,1: Good data
02/10/1998 00:00:00,24.01,1: Good data
02/11/1998 00:00:00,23.47,1: Good data
02/12/1998 00:00:00,23,1: Good data
02/13/1998 00:00:00,22.86,1: Good data
02/14/1998 00:00:00,23.19,1: Good data
