#Station Number:A02170
#Station Name:Sacramento River at Fremont Weir (West End)
#Station Type:Surface Water
#Parameter:Stage
#Output Interval (Unit of Measure):Daily Mean (FOOT)
#Output Date Range:Custom
#Start and End Date of Output Date Range:01/01/1998 - 12/31/2022
#Query Date and Time:11/15/2023 12:15:19
Date Time,Stage Daily Mean (FOOT),Quality Code
01/01/1998 00:00:00,16.45,1: Good data
01/02/1998 00:00:00,16.49,1: Good data
01/03/1998 00:00:00,16.87,1: Good data
01/04/1998 00:00:00,18.46,1: Good data
01/05/1998 00:00:00,22.03,1: Good data
01/06/1998 00:00:00,23.33,1: Good data
01/07/1998 00:00:00,21.91,1: Good data
01/08/1998 00:00:00,21.08,1: Good data
01/09/1998 00:00:00,21.83,1: Good data
01/10/1998 00:00:00,21.48,1: Good data
01/11/1998 00:00:00,21.76,1: Good data
01/12/1998 00:00:00,26.02,1: Good data
01/13/1998 00:00:00,30.33,1: Good data
01/14/1998 00:00:00,31.96,1: Good data
01/15/1998 00:00:00,33.58,1: Good data
01/16/1998 00:00:00,35.31,1: Good data
01/17/1998 00:00:00,35.65,1: Good data
01/18/1998 00:00:00,35.73,1: Good data
01/19/1998 00:00:00,35.88,1: Good data
01/20/1998 00:00:00,35.92,1: Good data
01/21/1998 00:00:00,35.9,1: Good data
01/22/1998 00:00:00,35.67,1: Good data
01/23/1998 00:00:00,35.37,1: Good data
01/24/1998 00:00:00,35.17,1: Good data
01/25/1998 00:00:00,35.05,1: Good data
01/26/1998 00:00:00,34.92,1: Good data
01/27/1998 00:00:00,34.94,1: Good data
01/28/1998 00:00:00,35.11,1: Good data
01/29/1998 00:00:00,35.45,1: Good data
01/30/1998 00:00:00,35.75,1: Good data
01/31/1998 00:00:00,35.67,1: Good data
02/01/1998 00:00:00,35.58,1: Good data
02/02/1998 00:00:00,35.65,1: Good data
02/03/1998 00:00:00,36.48,1: Good data
02/04/1998 00:00:00,37.49,1: Good data
02/05/1998 00:00:00,37.94,1: Good data
02/06/1998 00:00:00,38.24,1: Good data
02/07/1998 00:00:00,38.27,1: Good data
02/08/1998 00:00:00,38.46,1: Good data
02/09/1998 00:00:00,38.43,1: Good data
02/10/1998 00:00:00,38.15,1: Good data
02/11/1998 00:00:00,37.7,1: Good data
02/12/1998 00:00:00,37.32,1: Good data
02/13/1998 00:00:00,37.14,1: Good data
02/14/1998 00:00:00,37.05,1: Good data
02/15/1998 00:00:00,37.19,1: Good data
02/16/1998 00:00:00,37.04,1: Good data
02/17/1998 00:00:00,36.94,1: Good data
02/18/1998 00:00:00,36.69,1: Good data
02/19/1998 00:00:00,36.57,1: Good data
02/20/1998 00:00:00,36.64,1: Good data
02/21/1998 00:00:00,36.59,1: Good data
02/22/1998 00:00:00,37.01,1: Good data
02/23/1998 00:00:00,36.98,1: Good data
02/24/1998 00:00:00,36.89,1: Good data
02/25/1998 00:00:00,36.71,1: Good data
02/26/1998 00:00:00,36.52,1: Good data
