DateTime,StageFW,InundationFW,StageISt,InundationISt,Overtopping
01/01/1998 00:00:00,16.45,Not Inundated,5.22,Not Inundated,FALSE
01/02/1998 00:00:00,16.49,Not Inundated,5.37,Not Inundated,FALSE
01/03/1998 00:00:00,16.87,Not Inundated,5.69,Not Inundated,FALSE
01/04/1998 00:00:00,18.46,Not Inundated,6.11,Not Inundated,FALSE
01/05/1998 00:00:00,22.03,Not Inundated,7.18,Not Inundated,FALSE
01/06/1998 00:00:00,23.33,Not Inundated,8.33,Not Inundated,FALSE
01/07/1998 00:00:00,21.91,Not Inundated,8.16,Not Inundated,FALSE
01/08/1998 00:00:00,21.08,Not Inundated,7.54,Not Inundated,FALSE
01/09/1998 00:00:00,21.83,Not Inundated,7.51,Not Inundated,FALSE
01/10/1998 00:00:00,21.48,Not Inundated,7.88,Not Inundated,FALSE
01/11/1998 00:00:00,21.76,Not Inundated,7.99,Not Inundated,FALSE
01/12/1998 00:00:00,26.02,Not Inundated,9.27,Not Inundated,FALSE
01/13/1998 00:00:00,30.33,Not Inundated,14.14,Not Inundated,FALSE
01/14/1998 00:00:00,31.96,Not Inundated,NA,NA,FALSE
01/15/1998 00:00:00,33.58,Inundated,NA,NA,TRUE
01/16/1998 00:00:00,35.31,Inundated,NA,NA,TRUE
01/17/1998 00:00:00,35.65,Inundated,NA,NA,TRUE
01/18/1998 00:00:00,35.73,Inundated,NA,NA,TRUE
01/19/1998 00:00:00,35.88,Inundated,NA,NA,TRUE
01/20/1998 00:00:00,35.92,Inundated,22.77,Inundated,TRUE
01/21/1998 00:00:00,35.9,Inundated,22.17,Inundated,TRUE
01/22/1998 00:00:00,35.67,Inundated,21.73,Inundated,TRUE
01/23/1998 00:00:00,35.37,Inundated,21.24,Inundated,TRUE
01/24/1998 00:00:00,35.17,Inundated,20.74,Inundated,TRUE
01/25/1998 00:00:00,35.05,Inundated,20.34,Inundated,TRUE
01/26/1998 00:00:00,34.92,Inundated,20.08,Inundated,TRUE
01/27/1998 00:00:00,34.94,Inundated,19.94,Inundated,TRUE
01/28/1998 00:00:00,35.11,Inundated,19.98,Inundated,TRUE
01/29/1998 00:00:00,35.45,Inundated,20.24,Inundated,TRUE
01/30/1998 00:00:00,35.75,Inundated,20.81,Inundated,TRUE
01/31/1998 00:00:00,35.67,Inundated,20.79,Inundated,TRUE
02/01/1998 00:00:00,35.58,Inundated,20.65,Inundated,TRUE
02/02/1998 00:00:00,35.65,Inundated,20.83,Inundated,TRUE
02/03/1998 00:00:00,36.48,Inundated,22.99,Inundated,TRUE
02/04/1998 00:00:00,37.49,Inundated,26.58,Inundated,TRUE
02/05/1998 00:00:00,37.94,Inundated,25.9,Inundated,TRUE
