"","Dates","StageHeight_FW","Overtopping_FW","StageHeight_ISt","Overtopping_ISt","StageHeight_LIS","Overtopping_LIS","Inundation"
"1",1998-01-01,16.45,"No",5.22,"No",6.01176470588235,"No",FALSE
"2",1998-01-02,16.49,"No",5.37,"No",6.810625,"No",FALSE
"3",1998-01-03,16.87,"No",5.69,"No",7.05354166666667,"No",FALSE
"4",1998-01-04,18.46,"No",6.11,"No",7.065625,"No",FALSE
"5",1998-01-05,22.03,"No",7.18,"No",6.60802083333333,"No",FALSE
"6",1998-01-06,23.33,"No",8.33,"No",6.41989583333333,"No",FALSE
"7",1998-01-07,21.91,"No",8.16,"No",6.4546875,"No",FALSE
"8",1998-01-08,21.08,"No",7.54,"No",6.58947916666667,"No",FALSE
"9",1998-01-09,21.83,"No",7.51,"No",6.73104166666667,"No",FALSE
"10",1998-01-10,21.48,"No",7.88,"No",7.1146875,"No",FALSE
"11",1998-01-11,21.76,"No",7.99,"No",7.3009375,"No",FALSE
"12",1998-01-12,26.02,"No",9.27,"No",7.74760416666667,"No",FALSE
"13",1998-01-13,30.33,"No",14.14,"No",8.6340625,"No",FALSE
"14",1998-01-14,31.96,"No",NA,NA,9.26333333333333,"No",FALSE
"15",1998-01-15,33.58,"Yes",NA,NA,9.6246875,"No",TRUE
"16",1998-01-16,35.31,"Yes",NA,NA,10.2252083333333,"No",TRUE
"17",1998-01-17,35.65,"Yes",NA,NA,11.8075,"No",TRUE
"18",1998-01-18,35.73,"Yes",NA,NA,16.0652083333333,"Yes",TRUE
"19",1998-01-19,35.88,"Yes",NA,NA,17.3698958333333,"Yes",TRUE
"20",1998-01-20,35.92,"Yes",22.77,"Yes",17.8959375,"Yes",TRUE
"21",1998-01-21,35.9,"Yes",22.17,"Yes",18.0555208333333,"Yes",TRUE
"22",1998-01-22,35.67,"Yes",21.73,"Yes",17.9507291666667,"Yes",TRUE
"23",1998-01-23,35.37,"Yes",21.24,"Yes",17.6235416666667,"Yes",TRUE
"24",1998-01-24,35.17,"Yes",20.74,"Yes",17.0638541666667,"Yes",TRUE
"25",1998-01-25,35.05,"Yes",20.34,"Yes",16.5073958333333,"Yes",TRUE
"26",1998-01-26,34.92,"Yes",20.08,"Yes",16.051875,"Yes",TRUE
"27",1998-01-27,34.94,"Yes",19.94,"Yes",15.6628125,"Yes",TRUE
"28",1998-01-28,35.11,"Yes",19.98,"Yes",15.5254022988506,"Yes",TRUE
"29",1998-01-29,35.45,"Yes",20.24,"Yes",15.7986458333333,"Yes",TRUE
"30",1998-01-30,35.75,"Yes",20.81,"Yes",16.4766666666667,"Yes",TRUE
"31",1998-01-31,35.67,"Yes",20.79,"Yes",17.2408333333333,"Yes",TRUE
"32",1998-02-01,35.58,"Yes",20.65,"Yes",17.2854166666667,"Yes",TRUE
"33",1998-02-02,35.65,"Yes",20.83,"Yes",17.3633333333333,"Yes",TRUE
"34",1998-02-03,36.48,"Yes",22.99,"Yes",17.8986206896552,"Yes",TRUE
"35",1998-02-04,37.49,"Yes",26.58,"Yes",20.2973563218391,"Yes",TRUE
"36",1998-02-05,37.94,"Yes",25.9,"Yes",21.7025287356322,"Yes",TRUE
"37",1998-02-06,38.24,"Yes",25.07,"Yes",22.2227906976744,"Yes",TRUE
"38",1998-02-07,38.27,"Yes",24.57,"Yes",22.6763157894737,"Yes",TRUE
"39",1998-02-08,38.46,"Yes",25.1,"Yes",23.1568181818182,"Yes",TRUE
"40",1998-02-09,38.43,"Yes",24.72,"Yes",23.2367708333333,"Yes",TRUE
"41",1998-02-10,38.15,"Yes",24.01,"Yes",22.9691666666667,"Yes",TRUE
"42",1998-02-11,37.7,"Yes",23.47,"Yes",22.624375,"Yes",TRUE
"43",1998-02-12,37.32,"Yes",23,"Yes",22.114375,"Yes",TRUE
"44",1998-02-13,37.14,"Yes",22.86,"Yes",21.7334375,"Yes",TRUE
"45",1998-02-14,37.05,"Yes",23.19,"Yes",21.3632291666667,"Yes",TRUE
"46",1998-02-15,37.19,"Yes",24.76,"Yes",21.2479166666667,"Yes",TRUE
"47",1998-02-16,37.04,"Yes",25.03,"Yes",21.0852083333333,"Yes",TRUE
"48",1998-02-17,36.94,"Yes",24.64,"Yes",20.96375,"Yes",TRUE
"49",1998-02-18,36.69,"Yes",24.17,"Yes",20.7986315789474,"Yes",TRUE
"50",1998-02-19,36.57,"Yes",23.59,"Yes",20.3279166666667,"Yes",TRUE
"51",1998-02-20,36.64,"Yes",23.63,"Yes",20.41,"Yes",TRUE
"52",1998-02-21,36.59,"Yes",23.27,"Yes",20.4005208333333,"Yes",TRUE
"53",1998-02-22,37.01,"Yes",23.43,"Yes",20.6963541666667,"Yes",TRUE
"54",1998-02-23,36.98,"Yes",23.61,"Yes",21.0114583333333,"Yes",TRUE
"55",1998-02-24,36.89,"Yes",23.5,"Yes",21.0047916666667,"Yes",TRUE
"56",1998-02-25,36.71,"Yes",23.05,"Yes",20.8236781609195,"Yes",TRUE
"57",1998-02-26,36.52,"Yes",22.69,"Yes",20.4672916666667,"Yes",TRUE
"58",1998-02-27,36.31,"Yes",22.37,"Yes",20.1235416666667,"Yes",TRUE
"59",1998-02-28,36.08,"Yes",22.01,"Yes",19.72125,"Yes",TRUE
"60",1998-03-01,35.79,"Yes",21.61,"Yes",19.2545833333333,"Yes",TRUE
"61",1998-03-02,35.53,"Yes",21.21,"Yes",18.7017708333333,"Yes",TRUE
"62",1998-03-03,35.38,"Yes",20.87,"Yes",18.1855208333333,"Yes",TRUE
"63",1998-03-04,35.26,"Yes",20.61,"Yes",17.7430208333333,"Yes",TRUE
"64",1998-03-05,35.08,"Yes",20.4,"Yes",17.3326041666667,"Yes",TRUE
"65",1998-03-06,34.93,"Yes",20.37,"Yes",16.9301041666667,"Yes",TRUE
"66",1998-03-07,34.74,"Yes",20.21,"Yes",16.4735416666667,"Yes",TRUE
"67",1998-03-08,34.5,"Yes",19.87,"Yes",15.9744791666667,"Yes",TRUE
"68",1998-03-09,34.24,"Yes",19.55,"Yes",15.3854166666667,"Yes",TRUE
"69",1998-03-10,33.9,"Yes",19.23,"Yes",14.8229166666667,"Yes",TRUE
"70",1998-03-11,33.23,"Yes",18.78,"Yes",14.2659375,"Yes",TRUE
"71",1998-03-12,32.4,"Yes",18.08,"Yes",14.0590625,"Yes",TRUE
"72",1998-03-13,31.55,"No",17.28,"Yes",13.8514583333333,"Yes",TRUE
"73",1998-03-14,30.8,"No",16.44,"No",13.7329166666667,"Yes",TRUE
"74",1998-03-15,30.53,"No",15.69,"No",13.6065625,"Yes",TRUE
"75",1998-03-16,30.22,"No",15.37,"No",13.6016666666667,"Yes",TRUE
"76",1998-03-17,29.66,"No",15.04,"No",13.4690625,"Yes",TRUE
"77",1998-03-18,28.95,"No",14.44,"No",13.3367708333333,"Yes",TRUE
"78",1998-03-19,28.44,"No",14.05,"No",13.0831578947368,"Yes",TRUE
"79",1998-03-20,28.58,"No",14.74,"No",13.1372916666667,"Yes",TRUE
"80",1998-03-21,29.25,"No",15.23,"No",13.0620833333333,"Yes",TRUE
"81",1998-03-22,30.42,"No",15.85,"No",12.9394791666667,"No",FALSE
"82",1998-03-23,31.7,"No",16.95,"No",12.8690625,"No",FALSE
"83",1998-03-24,33.67,"Yes",18.51,"Yes",12.8647916666667,"No",TRUE
"84",1998-03-25,35.16,"Yes",20.6,"Yes",12.91625,"No",TRUE
"85",1998-03-26,35.62,"Yes",22.12,"Yes",14.6323958333333,"Yes",TRUE
"86",1998-03-27,35.87,"Yes",22.64,"Yes",16.9186458333333,"Yes",TRUE
"87",1998-03-28,35.95,"Yes",22.76,"Yes",17.7788541666667,"Yes",TRUE
"88",1998-03-29,35.88,"Yes",22.55,"Yes",17.9915625,"Yes",TRUE
"89",1998-03-30,35.69,"Yes",22.14,"Yes",17.9186458333333,"Yes",TRUE
"90",1998-03-31,35.42,"Yes",21.67,"Yes",17.5859375,"Yes",TRUE
"91",1998-04-01,35.06,"Yes",21.38,"Yes",17.1129166666667,"Yes",TRUE
"92",1998-04-02,34.78,"Yes",NA,NA,16.3625,"Yes",TRUE
"93",1998-04-03,34.73,"Yes",NA,NA,15.6486458333333,"Yes",TRUE
"94",1998-04-04,34.73,"Yes",NA,NA,15.2797916666667,"Yes",TRUE
"95",1998-04-05,34.61,"Yes",NA,NA,15.1858333333333,"Yes",TRUE
"96",1998-04-06,34.53,"Yes",NA,NA,15.0042708333333,"Yes",TRUE
"97",1998-04-07,34.48,"Yes",NA,NA,14.6815625,"Yes",TRUE
"98",1998-04-08,34.42,"Yes",NA,NA,14.4514583333333,"Yes",TRUE
"99",1998-04-09,34.36,"Yes",NA,NA,14.1855208333333,"Yes",TRUE
"100",1998-04-10,34.11,"Yes",NA,NA,13.9303125,"Yes",TRUE
"101",1998-04-11,33.75,"Yes",NA,NA,13.5914583333333,"Yes",TRUE
"102",1998-04-12,33.16,"Yes",NA,NA,13.189375,"Yes",TRUE
"103",1998-04-13,32.51,"Yes",NA,NA,12.9277083333333,"No",TRUE
"104",1998-04-14,32,"Yes",NA,NA,12.6744791666667,"No",TRUE
"105",1998-04-15,31.34,"No",NA,NA,12.4327083333333,"No",FALSE
"106",1998-04-16,30.46,"No",NA,NA,12.2972916666667,"No",FALSE
"107",1998-04-17,29.47,"No",NA,NA,12.1394252873563,"No",FALSE
"108",1998-04-18,28.28,"No",NA,NA,11.970625,"No",FALSE
"109",1998-04-19,27.42,"No",NA,NA,11.7248958333333,"No",FALSE
"110",1998-04-20,27.16,"No",NA,NA,11.4747916666667,"No",FALSE
"111",1998-04-21,27.2,"No",NA,NA,11.2544791666667,"No",FALSE
"112",1998-04-22,27.09,"No",NA,NA,11.0646875,"No",FALSE
"113",1998-04-23,27.05,"No",NA,NA,10.9094285714286,"No",FALSE
"114",1998-04-24,27.24,"No",NA,NA,10.3223076923077,"No",FALSE
"115",1998-04-25,27.8,"No",NA,NA,10.1233333333333,"No",FALSE
"116",1998-04-26,28.06,"No",NA,NA,9.6521875,"No",FALSE
"117",1998-04-27,28.12,"No",NA,NA,9.2253125,"No",FALSE
"118",1998-04-28,28.05,"No",NA,NA,8.88625,"No",FALSE
"119",1998-04-29,27.46,"No",NA,NA,8.61333333333333,"No",FALSE
"120",1998-04-30,26.87,"No",NA,NA,8.49552083333333,"No",FALSE
"121",1998-05-01,26.73,"No",NA,NA,8.28958333333333,"No",FALSE
"122",1998-05-02,26.89,"No",NA,NA,7.99708333333333,"No",FALSE
"123",1998-05-03,27.34,"No",NA,NA,7.84510416666667,"No",FALSE
"124",1998-05-04,27.89,"No",NA,NA,7.899375,"No",FALSE
"125",1998-05-05,28.08,"No",NA,NA,8.04520833333333,"No",FALSE
"126",1998-05-06,28.09,"No",NA,NA,8.064375,"No",FALSE
"127",1998-05-07,28.02,"No",NA,NA,7.7996875,"No",FALSE
"128",1998-05-08,27.39,"No",NA,NA,7.68020833333333,"No",FALSE
"129",1998-05-09,26.63,"No",NA,NA,7.51822916666667,"No",FALSE
"130",1998-05-10,26.69,"No",NA,NA,7.36458333333333,"No",FALSE
"131",1998-05-11,27.09,"No",NA,NA,7.38645833333333,"No",FALSE
"132",1998-05-12,26.8,"No",NA,NA,7.30041666666667,"No",FALSE
"133",1998-05-13,27.06,"No",NA,NA,7.35895833333333,"No",FALSE
"134",1998-05-14,28.04,"No",NA,NA,7.28416666666667,"No",FALSE
"135",1998-05-15,28.17,"No",NA,NA,7.4840625,"No",FALSE
"136",1998-05-16,28.02,"No",NA,NA,7.735625,"No",FALSE
"137",1998-05-17,28.17,"No",NA,NA,7.5309375,"No",FALSE
"138",1998-05-18,29.14,"No",NA,NA,7.1446875,"No",FALSE
"139",1998-05-19,29.2,"No",NA,NA,7.09552083333333,"No",FALSE
"140",1998-05-20,28.85,"No",NA,NA,6.96340659340659,"No",FALSE
"141",1998-05-21,28.25,"No",NA,NA,6.61520833333333,"No",FALSE
"142",1998-05-22,27.74,"No",NA,NA,6.4196875,"No",FALSE
"143",1998-05-23,27.18,"No",NA,NA,6.55229166666667,"No",FALSE
"144",1998-05-24,26.99,"No",NA,NA,6.866875,"No",FALSE
"145",1998-05-25,27.26,"No",NA,NA,7.0340625,"No",FALSE
"146",1998-05-26,27.86,"No",NA,NA,7.20239583333333,"No",FALSE
"147",1998-05-27,28.88,"No",NA,NA,7.1796875,"No",FALSE
"148",1998-05-28,29.2,"No",NA,NA,7.26166666666667,"No",FALSE
